# arquivo_ll	user_tokens	assistant_tokens	total_tokens
extr_........libcommoncache.c_h2o_cache_get_duration.ll	536	1692	2228
extr_........libcoreproxy.c_compress_hint_to_enum.ll	1470	6402	7872
extr_......driverspcipci.h_of_pci_get_max_link_speed.ll	610	2140	2750
extr_......fsbinfmt_elf.c_arch_check_elf.ll	647	1781	2428
extr_......uwbuwb.h_uwb_dev_addr_print.ll	629	2031	2660
extr_....graphicsvec4.h_vec4_divf.ll	634	2009	2643
extr_....libnetdatabufferbuffer.h_buffer_need_bytes.ll	837	2716	3553
extr_....utilhist.h_perf_hpp__should_skip.ll	995	3149	4144
extr_..dml_inline_defs.h_dml_abs.ll	394	1787	2181
extr_..git-compat-util.h_sane_iscase.ll	658	2462	3120
extr_..machine.h_machine__kernel_ip.ll	549	1967	2516
extr_..mt76.h_mt76_rev.ll	560	1358	1918
extr_..nfp_net_repr.h_nfp_repr_alloc.ll	665	1968	2633
extr_..nfpcorenfp_nsp.h_nfp_nsp_has_hwinfo_lookup.ll	601	2097	2698
extr_..pci.h_pci_ats_enabled.ll	504	1430	1934
extr_..schedsched.h_task_on_rq_queued.ll	677	2714	3391
extr_..utildarray.h_darray_insert_darray.ll	690	1983	2673
extr_..wifi.h_set_hal_start.ll	604	1975	2579
extr_..wifidriversnullwifi.c_nullwifi_ssid_is_online.ll	359	1409	1768
extr_22485.c_usage.ll	463	2143	2606
extr_24222.c_usage.ll	494	2463	2957
extr_8390p.c_eip_set_multicast_list.ll	523	1831	2354
extr_HTTP.c_NewHttpHeader.ll	431	1818	2249
extr_LzFind.c_MatchFinder_GetNumAvailableBytes.ll	734	2175	2909
extr_LzFind.c_MatchFinder_GetSubValue.ll	729	2350	3079
extr_THFile.c_THFile_ascii.ll	456	1575	2031
extr_a2xx_gpu.c_a2xx_recover.ll	2483	11327	13810
extr_aac_pci.c_aacch_probe.ll	775	3142	3917
extr_acompress.c_crypto_acomp_report.ll	701	2161	2862
extr_acpi_cpu.c_enable_idle.ll	578	1805	2383
